episode,score,max_reward,max_tile
1,1928,15.582222039438784,256
2,1384,13.954198624938726,128
3,424,10.66156544946134,32
4,1604,13.370073291193695,128
5,544,12.327570479176938,64
6,632,12.267138193547726,64
7,1336,13.966339549794792,128
8,1260,13.920526574342512,128
9,776,12.341553551331163,64
10,684,12.645662358403206,64
11,960,12.872445594985038,128
12,1284,13.901857642969116,128
13,828,12.259361608605833,64
14,968,14.450704219378531,128
15,608,13.458555100765079,64
16,1316,12.946020019054412,128
17,1472,12.892315189912916,128
18,692,12.298036230355502,64
19,1480,14.577380426228046,128
20,1308,12.918227750435472,128
21,748,11.197908258531243,64
22,436,13.416448317840695,64
23,1020,14.98838339075446,128
24,1284,14.028925064951181,128
25,676,11.238117602840067,64
26,1044,13.99730874793604,128
27,632,12.320403208583594,64
28,768,15.010542308958247,128
29,1616,12.938741784542799,128
30,1232,15.046073489636182,128
31,520,11.737575297709554,64
32,840,12.839000590704382,128
33,616,14.584300681669266,64
34,1132,15.229456407763063,128
35,1300,12.883413542620838,128
36,1132,14.734351136535405,128
37,752,13.347108655190095,64
38,908,15.038862689444795,128
39,1524,15.128469450585545,128
40,1168,16.202732768282296,128
41,2128,14.536935614794492,256
42,1148,13.946691827382892,128
43,728,12.012415805272758,64
44,608,12.31120190396905,64
45,704,11.207128998078407,64
46,596,13.40475241020322,64
47,240,11.820149490702898,32
48,788,12.306668488122522,64
49,612,14.576617683842779,64
50,808,13.9074557101354,128
51,500,12.39853007607162,64
52,896,11.80651000700891,64
53,508,11.163009986747056,64
54,872,12.309225996211172,64
55,384,9.513261858746409,32
56,1264,15.055639359354974,128
57,1228,14.692805204540491,128
58,552,13.45532453879714,64
59,424,13.183426118642092,64
60,1936,13.953691535815597,128
61,552,13.490192021802068,64
62,996,13.385728641971946,128
63,224,12.97811439493671,32
64,1400,13.94171537514776,128
65,996,15.179418562492355,128
66,548,13.469724407233297,64
67,984,13.489291980490089,128
68,776,12.34311759248376,64
69,472,12.455225152522326,64
70,556,12.88625166118145,64
71,636,14.0201435983181,64
72,1228,14.578096646070481,128
73,596,12.96116274893284,64
74,512,12.918319925665855,64
75,1400,15.581655660271645,128
76,572,13.667971029877663,64
77,1092,15.565722832083702,128
78,984,16.649008187651635,128
79,1172,14.472707685828208,128
80,1204,14.520445331931114,128
81,812,12.907741478085518,64
82,988,13.450136494636535,128
83,924,14.131255713105201,128
84,616,14.28576392531395,64
85,308,11.405996018648148,32
86,1364,14.50004023015499,128
87,460,10.154222398996353,32
88,692,14.765352153778077,64
89,1196,14.572843754291535,128
90,964,13.526990702748298,128
91,624,12.875400260090828,64
92,1212,15.593208798766137,128
93,596,12.487961855530738,64
94,636,12.883218285441398,64
95,280,10.093633636832237,32
96,1200,14.48174816071987,128
97,400,12.909701636433601,64
98,552,11.728824356198311,64
99,596,12.966490468382835,64
100,720,12.908343243598939,64
101,524,14.08439607322216,64
102,544,13.599049928784371,64
103,576,14.138360625505447,64
104,676,15.081146374344826,64
105,896,15.068798458576202,128
106,1276,13.589613068103791,128
107,476,11.830558565258979,64
108,284,11.214445140957832,32
109,2620,17.18143326342106,256
110,1020,13.505034998059273,128
111,1084,14.613061639666558,128
112,1020,15.628281110525132,128
113,1872,16.307084131240845,256
114,460,14.020448938012123,64
115,1092,14.491256439685822,128
116,988,14.49005148112774,128
117,1096,15.608236360549927,128
118,680,12.485451439023018,64
119,1292,14.52433375120163,128
120,1104,14.420798906683922,128
121,1440,16.660243332386017,128
122,876,11.871460357308388,64
123,436,12.581412443518639,32
124,516,12.949240285158158,64
125,680,14.401669445633889,64
126,840,13.404795128107072,128
127,292,11.374585664272308,32
128,1232,15.518220317363738,128
129,492,12.811937946081162,64
130,976,14.447746068239212,128
131,1220,15.502718362212182,128
132,1040,15.682893842458725,128
133,516,12.967999464273452,64
134,608,12.825431659817696,64
135,1180,14.797882238030434,128
136,992,16.612562155723573,128
137,532,12.912785837054253,64
138,1524,14.455276510119438,128
139,1156,14.482465943694114,128
140,528,13.589516669511795,64
141,1288,14.442466893792153,128
142,1184,14.090667301416397,128
143,652,14.712179327011109,64
144,860,14.186754959821702,64
145,252,12.150110614299773,32
146,2272,19.07512629032135,256
147,1076,17.422496217489243,128
148,1372,17.29598335623741,128
149,1344,17.28936999440193,128
150,1136,16.183514612913132,128
151,1264,16.247885602712632,128
152,804,13.395777094364167,64
153,1296,17.35361590385437,128
154,1536,15.342824572324753,128
155,492,14.370876687765122,64
156,1156,17.15859835743904,128
157,1448,17.35613043308258,128
158,1216,16.187375926971434,128
159,680,13.425435292720795,64
160,1956,15.605415314435959,256
161,588,14.550044965744018,64
162,336,11.932081365585328,32
163,752,13.418927758932114,64
164,1104,16.263566595315933,128
165,704,14.438321739435196,64
166,932,13.845742750167847,64
167,1156,13.974933469295502,128
168,996,15.223582869768142,128
169,952,15.063036179542541,128
170,1800,17.859505569934846,256
171,428,13.796269941329957,64
172,588,13.472792345285416,64
173,932,16.146954470872878,128
174,584,13.365917021036148,64
175,532,15.789827740192413,64
176,1192,15.84621302485466,128
177,512,13.693565708398818,64
178,1652,15.042885231971741,128
179,316,12.056057345867156,32
180,1828,16.79468330144882,256
181,680,14.463592863082885,64
182,516,13.356816214323043,64
183,1948,14.120435464382172,128
184,432,13.633047324419021,64
185,1308,14.015809613466264,128
186,1160,15.185699874162674,128
187,1204,16.143838620185853,128
188,700,15.648557835817337,64
189,1076,14.161970376968384,128
190,904,14.869865465164185,128
191,556,14.689447629451752,64
192,1036,14.021410042047501,128
193,1196,15.046403700113297,128
194,616,14.706363278627396,64
195,936,14.074241709709167,128
196,1196,15.135059767961502,128
197,1168,15.125943970680236,128
198,1056,14.701375877857208,128
199,1212,15.20536395907402,128
200,1220,17.09429798722267,128
201,676,13.553169745206834,64
202,360,12.02550321817398,32
203,996,16.20171707868576,128
204,1304,14.03255432844162,128
205,620,13.454172950983047,64
206,1100,13.930131554603577,128
207,1000,16.35558914542198,128
208,480,14.095745778083801,64
209,1028,16.830297768115997,128
210,1276,15.630560344457626,128
211,2016,18.054799008369447,256
212,956,14.531082570552826,128
213,784,15.060989779233932,64
214,1192,14.543582838773727,128
215,1148,15.459278327226638,128
216,1060,15.841795361042022,128
217,1244,15.5829527258873,128
218,1340,15.635114860534667,128
219,520,13.925392425060272,64
220,560,13.837949800491334,64
221,648,14.20347353219986,64
222,480,14.130677378177642,64
223,1996,17.383313536643982,256
224,568,14.346143305301666,64
225,160,11.339371001720428,32
226,1036,15.784656167030334,128
227,1428,15.875322544574738,128
228,196,11.342338287830353,32
229,1256,16.572356832027435,128
230,628,15.206686198711395,64
231,1204,16.812257558107376,128
232,436,14.759982216358186,32
233,344,12.596160972118378,32
234,696,14.6380764067173,64
235,724,13.258619129657745,64
236,380,12.657611691951752,32
237,364,12.606473660469055,32
238,532,14.088091266155242,64
239,1336,15.183774948120117,128
240,1032,16.732710313796996,128
241,332,12.606296670436858,32
242,680,13.58960393667221,64
243,1452,16.734674882888793,128
244,704,16.084390878677368,64
245,908,15.688668888807296,128
246,2076,17.290303975343704,256
247,856,13.855741244554519,64
248,1080,17.456851601600647,128
249,404,14.145284819602967,64
250,552,14.16539306640625,64
251,496,14.247435367107391,64
252,1104,15.583423620462417,128
253,632,14.168002831935883,64
254,1304,16.630089390277863,128
255,936,14.624355435371399,128
256,624,14.122601187229156,64
257,636,14.269148826599121,64
258,892,14.761302936077119,128
259,916,15.153962337970734,64
260,96,12.277923166751862,16
261,1372,16.601847952604295,128
262,1372,14.714609229564667,128
263,1216,16.10069614648819,128
264,456,13.874404782056809,64
265,1248,14.823980450630188,128
266,1184,16.236254048347472,128
267,760,14.164496159553527,64
268,616,14.09853117465973,64
269,1328,15.790670454502106,128
270,736,15.202768051624298,64
271,316,13.699666917324066,32
272,1004,15.835178005695344,128
273,2052,17.33325052857399,256
274,464,13.057184207439423,64
275,660,14.801228499412536,64
276,1148,15.42132396697998,128
277,644,16.156735718250275,64
278,1188,15.65144124031067,128
279,784,13.997150719165802,64
280,564,14.808285284042359,64
281,1208,16.187839221954345,128
282,2632,16.806027936935426,256
283,560,14.774625861644745,64
284,832,14.623021912574767,64
285,296,13.182241380214691,32
286,580,15.134116685390472,64
287,844,14.982185530662537,64
288,496,14.833331727981568,64
289,1208,15.380445110797883,128
290,1024,15.443675887584686,128
291,504,15.086815679073334,64
292,748,15.114563512802125,64
293,1424,17.36238604784012,128
294,624,14.515085327625275,64
295,624,13.753969192504883,64
296,1368,16.59755531549454,128
297,952,15.332231831550597,128
298,1256,15.363729667663574,128
299,572,15.94088785648346,64
300,1236,18.56369094848633,128
301,332,14.453707540035248,32
302,1236,17.421050202846526,128
303,524,14.80814403295517,64
304,776,14.896092641353608,64
305,1004,17.498420691490175,128
306,1216,16.354558885097504,128
307,948,16.00843005180359,128
308,564,15.54242820739746,64
309,192,11.896611762046813,32
310,372,14.139527261257172,32
311,324,14.52039531469345,32
312,860,14.932846212387085,64
313,1320,16.219145143032073,128
314,400,15.08727992773056,64
315,952,16.693096041679382,128
316,1500,17.45429903268814,128
317,932,15.667405927181244,128
318,600,14.80829585790634,64
319,552,15.8710746884346,64
320,2196,19.907598519325255,256
321,1172,17.112038564682006,128
322,1280,16.146102690696715,128
323,1236,16.147129023075102,128
324,2440,18.03699995279312,256
325,956,13.67119812965393,64
326,856,16.01818081140518,64
327,1208,14.9829580783844,128
328,708,16.91682415008545,64
329,508,17.113253045082093,64
330,516,13.753679239749909,64
331,380,13.438153839111328,32
332,1140,17.379240012168886,128
333,940,15.650085043907165,128
334,1064,16.40049397945404,128
335,1080,16.465682888031004,128
336,908,13.537023389339447,64
337,620,14.658678472042084,64
338,904,16.569768965244293,128
339,1124,16.317720663547515,128
340,1216,16.089128816127776,128
341,592,15.768871665000916,64
342,1392,16.30600311756134,128
343,564,14.991601920127868,64
344,356,12.991857075691223,32
345,2212,18.225587499141692,256
346,248,13.241597831249237,32
347,1024,15.361917948722839,128
348,684,14.969601476192475,64
349,1308,15.577003049850465,128
350,484,16.659710383415224,64
351,1100,19.255267596244813,128
352,1048,15.917341232299805,128
353,2484,18.87454273700714,256
354,828,15.924024438858032,64
355,1276,16.88959494829178,128
356,840,16.753833758831025,128
357,1184,17.24166511297226,128
358,1140,18.058296585083006,128
359,952,17.254756796360017,128
360,632,15.803030216693879,64
361,520,14.356956815719604,64
362,796,17.87559801340103,64
363,1264,18.030634498596193,128
364,1316,17.34439084529877,128
365,1196,18.08816376924515,128
366,1224,19.48204687833786,128
367,920,15.944538044929505,128
368,348,14.81979160308838,64
369,528,16.888254153728486,64
370,1548,16.02594200372696,128
371,960,16.09983661174774,64
372,1108,15.892181861400605,128
373,580,16.017395186424256,64
374,1060,18.599799966812135,128
375,1300,18.37045750617981,128
376,1380,19.66254825592041,128
377,756,14.645444416999817,64
378,532,18.074570548534393,64
379,1020,17.445502853393556,128
380,1220,17.674068093299866,128
381,960,16.685043680667878,128
382,1140,18.138701808452605,128
383,1328,16.849518132209777,128
384,972,16.054517757892608,128
385,492,16.751678252220152,64
386,888,19.11335176229477,128
387,704,16.22245237827301,64
388,1256,15.881711387634278,128
389,628,15.564132916927338,64
390,1836,20.245442986488342,256
391,608,15.84874505996704,64
392,428,16.40956085920334,64
393,760,15.458983087539673,64
394,312,12.991825318336486,32
395,600,15.086572360992431,64
396,988,16.818968260288237,128
397,560,15.982542061805725,64
398,1560,17.313988184928895,128
399,1148,18.43374922275543,128
400,1136,17.967430889606476,128
401,1380,18.636097836494447,128
402,944,15.507386994361877,128
403,704,14.581863391399384,64
404,636,17.22070093154907,64
405,1256,19.225211000442506,128
406,832,16.79734058380127,128
407,520,15.48571810722351,64
408,640,15.689940977096558,64
409,768,19.099615955352782,64
410,924,15.960958576202392,128
411,152,11.338109016418457,16
412,980,15.699277544021607,64
413,752,16.015222120285035,64
414,516,14.636804628372193,64
415,804,15.646214473247529,64
416,560,15.718633079528809,64
417,812,16.814196753501893,64
418,420,15.52238870859146,64
419,664,18.607297277450563,64
420,612,15.616009211540222,64
421,1284,17.996200132369996,128
422,572,15.85346977710724,64
423,404,15.347099208831787,64
424,780,14.980015110969543,64
425,1372,17.153429174423216,128
426,984,18.654237723350526,128
427,2264,20.309115862846376,256
428,920,18.964008378982545,128
429,1040,18.493452167510988,128
430,344,16.668569350242613,32
431,624,16.600931930541993,64
432,684,15.278747272491454,64
433,1104,18.48612802028656,128
434,1468,17.2457736492157,128
435,1120,17.504188764095307,128
436,224,15.478101015090942,32
437,900,17.840957903861998,128
438,556,16.680755519866942,64
439,1944,19.182821416854857,256
440,568,14.986986637115479,64
441,684,17.09271094799042,64
442,988,18.56573657989502,128
443,1088,18.0492733001709,128
444,1168,19.213723850250243,128
445,1216,18.571193420886992,128
446,560,16.59818093776703,64
447,648,16.651067090034484,64
448,1180,18.086202645301817,128
449,984,19.513499546051026,128
450,672,17.7331830739975,64
451,1084,18.11813631057739,128
452,628,16.890825986862183,64
453,920,16.247751426696777,64
454,1056,17.619388699531555,128
455,776,15.918789601325988,64
456,616,16.64419059753418,64
457,304,14.365098524093629,32
458,748,16.070510220527648,64
459,796,16.83996775150299,64
460,692,16.407215690612794,64
461,804,15.581817245483398,64
462,612,17.26484682559967,64
463,1224,18.72272186279297,128
464,712,17.606414556503296,64
465,844,15.951490879058838,64
466,840,15.312961459159851,64
467,572,15.841513514518738,64
468,976,17.66528308391571,128
469,812,17.264522910118103,64
470,644,16.505232977867127,64
471,1052,17.7558531999588,128
472,1512,18.234888076782227,128
473,1460,17.746558570861815,128
474,1124,18.03915421962738,128
475,1016,17.777796077728272,128
476,752,16.40997359752655,64
477,1920,18.072818315029146,256
478,268,14.829662179946899,32
479,296,15.568174052238465,32
480,616,17.4903644323349,64
481,1220,17.83443820476532,128
482,1292,16.73473494052887,128
483,528,16.607307839393616,64
